"Label (Grouping)","Texas!!Estimate","Texas!!Margin of Error","Angelina County, Texas!!Estimate","Angelina County, Texas!!Margin of Error","Bastrop County, Texas!!Estimate","Bastrop County, Texas!!Margin of Error","Bell County, Texas!!Estimate","Bell County, Texas!!Margin of Error","Bexar County, Texas!!Estimate","Bexar County, Texas!!Margin of Error","Bowie County, Texas!!Estimate","Bowie County, Texas!!Margin of Error","Brazoria County, Texas!!Estimate","Brazoria County, Texas!!Margin of Error","Brazos County, Texas!!Estimate","Brazos County, Texas!!Margin of Error","Cameron County, Texas!!Estimate","Cameron County, Texas!!Margin of Error","Collin County, Texas!!Estimate","Collin County, Texas!!Margin of Error","Comal County, Texas!!Estimate","Comal County, Texas!!Margin of Error","Coryell County, Texas!!Estimate","Coryell County, Texas!!Margin of Error","Dallas County, Texas!!Estimate","Dallas County, Texas!!Margin of Error","Denton County, Texas!!Estimate","Denton County, Texas!!Margin of Error","Ector County, Texas!!Estimate","Ector County, Texas!!Margin of Error","Ellis County, Texas!!Estimate","Ellis County, Texas!!Margin of Error","El Paso County, Texas!!Estimate","El Paso County, Texas!!Margin of Error","Fort Bend County, Texas!!Estimate","Fort Bend County, Texas!!Margin of Error","Galveston County, Texas!!Estimate","Galveston County, Texas!!Margin of Error","Grayson County, Texas!!Estimate","Grayson County, Texas!!Margin of Error","Gregg County, Texas!!Estimate","Gregg County, Texas!!Margin of Error","Guadalupe County, Texas!!Estimate","Guadalupe County, Texas!!Margin of Error","Harris County, Texas!!Estimate","Harris County, Texas!!Margin of Error","Harrison County, Texas!!Estimate","Harrison County, Texas!!Margin of Error","Hays County, Texas!!Estimate","Hays County, Texas!!Margin of Error","Henderson County, Texas!!Estimate","Henderson County, Texas!!Margin of Error","Hidalgo County, Texas!!Estimate","Hidalgo County, Texas!!Margin of Error","Hood County, Texas!!Estimate","Hood County, Texas!!Margin of Error","Hunt County, Texas!!Estimate","Hunt County, Texas!!Margin of Error","Jefferson County, Texas!!Estimate","Jefferson County, Texas!!Margin of Error","Johnson County, Texas!!Estimate","Johnson County, Texas!!Margin of Error","Kaufman County, Texas!!Estimate","Kaufman County, Texas!!Margin of Error","Liberty County, Texas!!Estimate","Liberty County, Texas!!Margin of Error","Lubbock County, Texas!!Estimate","Lubbock County, Texas!!Margin of Error","McLennan County, Texas!!Estimate","McLennan County, Texas!!Margin of Error","Midland County, Texas!!Estimate","Midland County, Texas!!Margin of Error","Montgomery County, Texas!!Estimate","Montgomery County, Texas!!Margin of Error","Nacogdoches County, Texas!!Estimate","Nacogdoches County, Texas!!Margin of Error","Nueces County, Texas!!Estimate","Nueces County, Texas!!Margin of Error","Orange County, Texas!!Estimate","Orange County, Texas!!Margin of Error","Parker County, Texas!!Estimate","Parker County, Texas!!Margin of Error","Potter County, Texas!!Estimate","Potter County, Texas!!Margin of Error","Randall County, Texas!!Estimate","Randall County, Texas!!Margin of Error","Rockwall County, Texas!!Estimate","Rockwall County, Texas!!Margin of Error","San Patricio County, Texas!!Estimate","San Patricio County, Texas!!Margin of Error","Smith County, Texas!!Estimate","Smith County, Texas!!Margin of Error","Starr County, Texas!!Estimate","Starr County, Texas!!Margin of Error","Tarrant County, Texas!!Estimate","Tarrant County, Texas!!Margin of Error","Taylor County, Texas!!Estimate","Taylor County, Texas!!Margin of Error","Tom Green County, Texas!!Estimate","Tom Green County, Texas!!Margin of Error","Travis County, Texas!!Estimate","Travis County, Texas!!Margin of Error","Victoria County, Texas!!Estimate","Victoria County, Texas!!Margin of Error","Walker County, Texas!!Estimate","Walker County, Texas!!Margin of Error","Webb County, Texas!!Estimate","Webb County, Texas!!Margin of Error","Wichita County, Texas!!Estimate","Wichita County, Texas!!Margin of Error","Williamson County, Texas!!Estimate","Williamson County, Texas!!Margin of Error","Wise County, Texas!!Estimate","Wise County, Texas!!Margin of Error"
"            6 to 11 years","992,089","±20,327","3,643","±881","4,958","±1,273","13,862","±2,215","65,018","±5,244","2,307","±526","16,085","±1,781","6,160","±1,145","12,076","±1,739","46,506","±2,872","6,376","±1,222","2,315","±812","82,717","±5,042","35,125","±2,759","6,128","±1,384","9,895","±1,294","27,182","±2,875","35,680","±3,161","11,843","±1,555","4,620","±968","3,985","±957","6,497","±1,332","148,143","±7,657","1,927","±686","9,876","±1,693","2,482","±684","29,440","±2,850","2,049","±596","5,268","±949","8,458","±1,541","7,787","±1,451","5,879","±1,414","6,477","±2,018","8,962","±1,434","7,633","±1,491","6,634","±1,651","22,839","±2,383","1,577","±772","10,765","±1,475","3,079","±1,212","5,716","±1,177","4,649","±953","5,634","±1,080","4,276","±943","2,395","±672","8,479","±1,708","1,479","±771","73,085","±4,422","5,253","±1,095","3,475","±717","39,026","±2,900","3,909","±721","846","±473","7,783","±1,480","4,157","±771","25,729","±2,429","2,790","±700"
"            12 to 14 years","540,494","±16,859","1,679","±800","1,868","±944","8,142","±2,122","39,397","±3,996","2,121","±526","6,708","±1,480","3,371","±1,002","7,385","±1,642","23,328","±2,337","3,568","±1,017","1,284","±595","45,358","±4,396","18,547","±2,445","4,350","±1,158","4,375","±1,280","14,150","±1,998","20,678","±3,364","7,226","±1,835","2,045","±775","2,237","±968","4,539","±1,279","85,870","±5,881","1,565","±667","5,923","±1,621","572","±364","13,733","±1,984","718","±262","1,589","±703","3,645","±1,224","3,321","±903","5,222","±1,495","1,530","±988","5,708","±1,361","3,911","±1,086","3,009","±1,161","16,130","±2,364","1,241","±569","5,149","±1,202","2,036","±919","2,717","±1,111","1,102","±786","2,715","±1,035","3,696","±1,020","918","±586","3,824","±1,066","1,584","±609","45,101","±3,766","2,077","±743","1,774","±716","19,011","±2,646","1,200","±589","431","±503","5,821","±1,479","1,619","±612","11,132","±1,957","1,240","±521"
"            15 years","188,959","±8,435","249","±241","1,027","±515","1,556","±927","13,333","±1,978","1,097","±465","2,309","±863","1,060","±437","2,085","±756","9,785","±1,559","1,454","±636","144","±164","16,882","±1,976","7,273","±1,241","1,805","±705","1,246","±477","5,391","±1,127","5,668","±1,417","2,552","±906","1,321","±797","692","±360","1,488","±629","26,227","±3,329","306","±271","1,242","±711","417","±410","4,672","±1,242","660","±251","656","±453","1,638","±634","1,235","±587","1,874","±648","1,002","±1,139","1,617","±723","990","±395","1,471","±864","5,673","±1,579","784","±576","2,550","±704","1,239","±729","1,768","±579","633","±515","1,271","±678","1,163","±434","46","±85","844","±483","267","±257","15,089","±2,259","898","±521","722","±340","6,810","±1,359","195","±189","445","±519","1,242","±657","854","±343","3,956","±905","865","±377"
"            16 and 17 years","358,166","±9,046","993","±311","1,289","±518","5,788","±975","21,431","±2,101","1,122","±406","5,855","±1,326","2,399","±593","4,644","±1,200","15,097","±1,728","2,740","±846","778","±340","29,981","±2,666","12,590","±1,363","1,232","±665","3,048","±702","8,935","±1,464","15,502","±1,408","4,460","±851","2,297","±690","1,625","±477","1,942","±761","58,845","±4,293","638","±419","3,557","±641","1,037","±614","10,567","±1,663","546","±385","915","±473","2,119","±778","2,802","±630","2,588","±896","1,660","±1,330","3,307","±970","2,866","±776","1,885","±858","9,064","±1,392","851","±520","3,525","±855","967","±575","1,653","±664","1,318","±668","1,619","±599","2,154","±407","275","±297","3,536","±558","824","±378","27,360","±2,526","1,761","±632","1,155","±365","12,500","±1,678","1,380","±779","816","±529","3,171","±826","788","±354","8,967","±1,159","857","±372"
"            18 to 24 years","1,034,852","±12,294","2,429","±755","4,143","±478","14,892","±1,078","74,120","±3,757","3,119","±586","13,783","±945","8,376","±1,460","16,966","±1,212","40,098","±2,808","5,838","±372","2,279","±416","98,107","±3,655","31,857","±2,148","6,762","±742","7,929","±998","33,360","±1,948","34,121","±1,475","10,617","±1,122","4,941","±1,355","4,311","±749","6,004","±595","172,849","±4,801","1,732","±601","8,777","±1,630","2,192","±681","33,076","±2,262","1,695","±465","3,386","±613","6,425","±1,130","7,250","±697","6,857","±1,309","4,109","±399","13,109","±1,892","10,038","±1,765","6,239","±1,256","22,383","±2,286","1,847","±1,049","12,574","±962","2,261","±689","4,878","±951","4,407","±901","6,539","±844","5,222","±610","1,638","±603","7,676","±1,340","3,109","±443","81,604","±2,800","5,514","±1,353","3,844","±601","38,028","±3,200","3,631","±952","1,551","±1,188","11,360","±1,103","3,902","±977","20,986","±2,155","2,710","±387"
"            25 to 34 years","1,836,277","±12,170","5,366","±772","5,501","±755","26,403","±1,520","135,076","±3,012","4,861","±1,031","23,731","±1,031","13,450","±1,186","20,501","±1,620","74,650","±2,506","10,003","±656","5,781","±853","187,623","±3,262","68,304","±1,471","10,561","±474","13,243","±1,409","50,813","±2,487","47,706","±2,155","20,934","±795","9,023","±995","7,219","±1,210","11,330","±943","298,548","±6,414","3,264","±794","17,929","±1,019","3,984","±408","44,915","±1,963","3,295","±447","6,475","±758","11,953","±1,305","11,596","±895","12,644","±1,426","6,361","±686","17,279","±1,754","14,343","±1,186","11,289","±1,333","41,488","±2,399","2,324","±620","17,673","±1,420","4,647","±911","9,567","±530","7,888","±1,710","8,309","±692","7,176","±751","2,999","±853","13,675","±1,377","2,469","±703","145,942","±2,595","8,930","±692","7,394","±698","112,676","±2,322","4,774","±732","3,057","±1,088","14,470","±1,362","5,940","±664","47,974","±1,078","4,056","±443"
"            35 to 44 years","1,849,329","±11,049","4,019","±644","6,727","±481","25,077","±1,046","129,253","±2,771","5,504","±1,089","28,231","±813","11,589","±1,112","18,359","±1,163","90,926","±1,388","12,413","±781","3,935","±759","154,111","±2,884","75,096","±1,508","10,137","±794","15,065","±1,261","45,652","±1,917","66,409","±2,095","22,041","±1,180","7,218","±524","5,431","±984","12,706","±1,003","293,421","±4,928","4,091","±800","19,307","±1,030","3,534","±620","39,110","±1,903","4,088","±603","6,679","±841","12,724","±970","13,202","±957","13,172","±1,087","5,329","±995","17,484","±1,215","13,595","±1,037","12,493","±1,423","46,847","±1,861","3,233","±556","20,555","±1,207","5,214","±609","11,488","±927","5,645","±708","9,212","±978","9,206","±1,127","4,437","±822","14,940","±1,124","2,722","±438","137,967","±2,877","8,337","±963","6,758","±1,064","97,979","±2,173","4,673","±850","2,244","±1,104","11,089","±1,067","6,804","±658","55,525","±1,068","4,578","±337"
"            45 to 54 years","1,691,335","±10,076","4,172","±750","5,260","±628","19,015","±891","114,399","±2,215","4,505","±698","23,856","±987","10,020","±669","22,728","±1,290","82,204","±1,291","11,443","±798","3,664","±890","142,941","±2,508","68,958","±1,235","8,011","±848","14,082","±550","44,074","±1,833","62,377","±1,200","21,236","±802","7,887","±839","7,052","±1,061","12,007","±640","267,595","±3,426","3,612","±626","15,447","±813","4,968","±703","42,356","±1,696","3,222","±406","6,191","±753","10,955","±866","11,049","±835","10,207","±524","5,119","±1,193","14,891","±682","12,974","±915","6,532","±1,026","42,709","±1,108","2,584","±523","18,079","±1,132","5,066","±530","10,630","±787","5,572","±1,200","8,242","±917","8,767","±717","3,619","±742","11,752","±1,261","2,978","±486","126,381","±1,967","5,727","±650","5,002","±980","78,318","±1,767","4,320","±809","3,507","±1,059","14,266","±708","5,964","±538","43,385","±1,303","4,403","±419"
"            55 to 64 years","1,489,939","±7,767","5,068","±724","5,348","±543","17,236","±698","95,653","±2,396","4,646","±430","20,089","±699","8,984","±525","19,130","±1,208","62,771","±1,038","12,359","±696","3,981","±743","126,900","±2,731","54,686","±1,303","6,538","±775","12,387","±383","38,441","±1,965","46,540","±1,643","21,629","±727","9,815","±861","6,371","±655","10,139","±616","223,952","±4,218","3,366","±380","12,869","±639","4,837","±641","32,555","±1,601","4,800","±605","6,230","±856","11,414","±907","10,683","±677","9,037","±411","3,701","±764","14,702","±612","13,047","±781","6,657","±881","37,200","±1,122","2,894","±494","17,642","±885","4,559","±483","10,537","±519","6,063","±908","8,003","±493","7,058","±587","3,243","±440","13,046","±710","2,723","±469","111,780","±1,633","6,337","±771","5,414","±638","60,140","±1,503","4,671","±356","2,807","±365","10,486","±852","6,720","±344","33,172","±976","4,746","±440"
"            65 to 74 years","1,179,703","±8,871","4,255","±587","5,058","±555","13,716","±515","75,238","±2,252","3,916","±533","15,378","±850","7,609","±685","15,727","±1,113","41,613","±1,230","10,762","±762","3,021","±544","92,086","±2,457","37,321","±808","4,479","±421","8,342","±812","30,491","±1,326","36,835","±1,344","16,721","±978","7,052","±828","5,663","±316","8,740","±617","167,005","±2,954","4,039","±607","10,557","±768","5,953","±707","24,139","±1,426","5,256","±509","4,406","±386","10,608","±764","8,122","±769","5,748","±713","4,368","±608","11,710","±739","10,743","±1,083","5,592","±585","29,719","±988","2,864","±555","15,510","±761","3,885","±553","8,585","±510","4,447","±314","6,431","±264","4,940","±459","2,556","±407","12,826","±697","1,626","±334","81,852","±1,662","6,405","±758","5,813","±663","47,273","±923","4,158","±402","3,290","±818","6,968","±796","5,562","±442","26,930","±834","3,815","±611"
"            75 years and over","761,116","±7,867","3,069","±396","3,233","±513","8,222","±669","51,105","±1,654","3,736","±692","8,818","±1,033","4,377","±592","11,126","±865","27,608","±1,166","6,482","±379","1,877","±516","57,437","±1,622","24,408","±722","3,167","±573","5,740","±806","19,941","±1,192","20,064","±921","10,299","±528","5,237","±511","3,741","±506","5,112","±687","102,781","±2,533","2,103","±466","5,945","±544","3,842","±361","18,452","±1,623","3,575","±615","3,342","±448","6,616","±711","5,791","±656","3,475","±456","1,803","±319","7,315","±959","7,976","±1,215","4,232","±532","18,556","±1,004","2,390","±538","10,975","±1,057","2,748","±446","4,642","±567","3,071","±299","4,675","±252","3,395","±465","1,836","±422","8,367","±644","1,284","±275","51,633","±1,616","4,845","±785","3,744","±514","28,234","±907","3,539","±316","1,493","±589","4,626","±751","3,732","±402","18,021","±848","2,022","±406"
